set,item,exact_matches,normalized_matches,max_jaccard,nearest_plate,nearest_item
stream,200,0,0,0.1119,optmath_bench,100
stream,201,0,0,0.0106,optmath_bench,44
stream,202,0,0,0.0106,optmath_bench,5
stream,203,0,0,0.0098,optmath_bench,45
stream,204,0,0,0.1271,optmath_bench,112
stream,205,0,0,0.0359,optmath_bench,9
stream,206,0,0,0.0139,optmath_bench,49
stream,207,0,0,0.027,optmath_bench,118
stream,208,0,0,0.0075,optmath_bench,59
stream,209,0,0,0.004,optmath_bench,57
stream,210,0,0,0.007,industryor,31
stream,211,0,0,0.0639,optmath_bench,130
stream,212,0,0,0.0041,complexor,1
stream,213,0,0,0.152,optmath_bench,101
stream,214,0,0,0.0231,complexor,3
stream,215,0,0,0.1522,optmath_bench,42
stream,216,0,0,0.016,optmath_bench,27
stream,217,0,0,0.0037,mamo_complex_test,1
stream,218,0,0,0.0104,optmath_bench,45
stream,219,0,0,0.0111,optmath_bench,50
stream,220,0,0,0.0198,optmath_bench,78
stream,221,0,0,0.0094,mamo_complex_test,111
stream,222,0,0,0.0164,complexor,6
stream,223,0,0,0.0153,optmath_bench,56
stream,224,0,0,0.1226,optmath_bench,130
stream,225,0,0,0.033,optmath_bench,118
stream,226,0,0,0.0045,optibench,305
stream,227,0,0,0.0086,optmath_bench,123
stream,228,0,0,0.0106,industryor,31
stream,229,0,0,0.0192,optmath_bench,40
stream,230,0,0,0.098,optmath_bench,102
stream,231,0,0,0.016,optmath_bench,50
stream,232,0,0,0.0168,optmath_bench,5
stream,233,0,0,0.004,optmath_bench,150
stream,234,0,0,0.0467,optmath_bench,88
stream,235,0,0,0.008,optmath_bench,45
stream,236,0,0,0.0064,optmath_bench,59
stream,237,0,0,0.0081,optmath_bench,96
stream,238,0,0,0.0051,optmath_bench,113
stream,239,0,0,0.0202,complexor,6
stream,240,0,0,0.0215,complexor,6
stream,241,0,0,0.0071,complexor,18
stream,242,0,0,0.0299,optmath_bench,118
stream,243,0,0,0.0057,optmath_bench,51
stream,244,0,0,0.0103,optmath_bench,72
stream,245,0,0,0.0732,optmath_bench,72
stream,246,0,0,0.0103,optmath_bench,72
stream,247,0,0,0.1134,optmath_bench,102
stream,248,0,0,0.0074,optmath_bench,111
stream,249,0,0,0.0161,optmath_bench,125
stream,250,0,0,0.0063,optmath_bench,102
stream,251,0,0,0.0103,optibench,336
stream,252,0,0,0.0158,optmath_bench,72
stream,253,0,0,0.0903,optmath_bench,102
stream,254,0,0,0.0161,optmath_bench,56
